link_id,tick,load_units,load_ratio,status,observed_latency_ms
Elysium-Fenix,268,113.3,0.7454,ok,2705693.458
Boreas-Dawn,67,57.8,0.2859,ok,91039.512
Aegis-Boreas,468,55.8,0.2681,ok,78167.568
Caelum-Dawn,230,35.5,0.3861,ok,193529.03
Dawn-Fenix,385,75.0,0.478,ok,161704.511
Elysium-Fenix,32,14.4,0.095,ok,168063.23
Boreas-Dawn,122,78.2,0.3873,ok,117944.35
Dawn-Fenix,320,79.6,0.5069,ok,180398.671
Aegis-Elysium,204,88.3,0.4373,ok,313547.235
Dawn-Elysium,119,12.6,0.1833,ok,113126.169
Boreas-Elysium,192,37.2,0.1814,ok,112047.455
Aegis-Elysium,377,83.0,0.411,ok,286232.897
Boreas-Elysium,110,25.6,0.1247,ok,101572.875
Caelum-Dawn,129,42.1,0.4576,ok,237324.911
Boreas-Fenix,110,18.9,0.112,ok,138753.188
Boreas-Fenix,379,44.3,0.2624,ok,176365.966
Caelum-Fenix,123,57.7,0.4546,ok,236527.096
Elysium-Fenix,252,24.3,0.1601,ok,178726.234
Aegis-Boreas,429,23.8,0.1143,ok,61563.366
Aegis-Dawn,483,32.5,0.3313,ok,178437.533
Aegis-Dawn,334,44.5,0.4539,ok,249747.973
Dawn-Fenix,24,48.4,0.3085,ok,99354.142
Caelum-Fenix,195,19.6,0.1542,ok,123746.678
Aegis-Boreas,264,121.2,0.5828,ok,207166.671
Elysium-Fenix,381,34.6,0.2274,ok,199935.432
Boreas-Elysium,344,22.9,0.1119,ok,103520.479
Aegis-Dawn,174,25.2,0.2574,ok,153102.534
Boreas-Dawn,352,70.0,0.3466,ok,109434.044
Caelum-Elysium,455,55.1,0.6635,ok,625607.341
Boreas-Elysium,399,9.6,0.0468,ok,100082.773
Elysium-Fenix,138,71.4,0.4699,ok,367880.886
Boreas-Fenix,21,31.9,0.1886,ok,151280.393
Aegis-Boreas,25,20.3,0.0977,ok,61414.903
Aegis-Elysium,139,15.8,0.0782,ok,155802.882
Boreas-Fenix,215,37.7,0.2231,ok,158613.751
Boreas-Fenix,24,35.4,0.2097,ok,157476.568
Aegis-Boreas,117,36.3,0.1745,ok,67568.072
Caelum-Elysium,285,54.6,0.6573,ok,603431.978
Aegis-Boreas,58,60.2,0.2894,ok,78750.489
Aegis-Elysium,373,71.5,0.3539,ok,238616.814
Aegis-Dawn,224,15.4,0.157,ok,123635.525
Caelum-Fenix,362,49.6,0.3903,ok,195467.831
Aegis-Elysium,286,79.5,0.3935,ok,271685.566
Elysium-Fenix,200,28.8,0.1897,ok,187904.411
Aegis-Boreas,284,72.8,0.3498,ok,93340.352
Boreas-Fenix,51,125.5,0.7424,ok,993678.372
Boreas-Dawn,420,28.7,0.1422,ok,74915.938
Aegis-Dawn,211,48.0,0.4897,ok,282761.456
Dawn-Fenix,344,26.8,0.171,ok,78062.619
Elysium-Fenix,78,15.9,0.1043,ok,179114.156
Aegis-Elysium,194,82.4,0.4079,ok,285609.194
Dawn-Elysium,275,46.5,0.6735,ok,521713.981
Boreas-Fenix,382,48.5,0.287,ok,184901.578
Caelum-Fenix,348,22.5,0.1773,ok,126607.12
Aegis-Elysium,410,94.4,0.4674,ok,341022.6
Caelum-Elysium,439,11.9,0.1434,ok,137375.171
Boreas-Fenix,320,61.1,0.3618,ok,215623.586
Caelum-Elysium,292,33.3,0.4017,ok,230275.768
Caelum-Elysium,265,39.1,0.4714,ok,288787.493
Caelum-Fenix,488,44.3,0.3491,ok,175297.553
Caelum-Dawn,115,40.9,0.445,ok,231936.491
Caelum-Elysium,478,24.1,0.2898,ok,174077.695
Dawn-Fenix,409,38.0,0.2423,ok,85323.706
Caelum-Fenix,311,57.8,0.4549,ok,240021.18
Boreas-Fenix,135,91.3,0.5405,ok,390134.979
Dawn-Elysium,490,10.8,0.1561,ok,106725.546
Dawn-Elysium,429,6.7,0.0966,ok,105784.242
Aegis-Boreas,86,63.0,0.3027,ok,83274.956
Boreas-Elysium,66,113.1,0.5516,ok,294713.656
Boreas-Dawn,293,15.2,0.0751,ok,70164.57
Boreas-Fenix,171,80.6,0.4772,ok,311147.794
Caelum-Dawn,474,17.5,0.1905,ok,127090.583
Boreas-Elysium,39,68.4,0.3337,ok,147486.298
Caelum-Dawn,181,40.0,0.4344,ok,221625.671
Dawn-Elysium,149,16.4,0.2375,ok,122669.073
Boreas-Dawn,182,68.2,0.3375,ok,103776.686
Dawn-Elysium,254,27.7,0.4011,ok,183071.906
Elysium-Fenix,296,10.7,0.0704,ok,164859.536
Caelum-Dawn,247,59.720000000000006,0.4037,ok,202334.208
Elysium-Fenix,358,31.4,0.2067,ok,196316.009
Dawn-Elysium,124,20.9,0.303,ok,139804.137
Aegis-Dawn,192,24.0,0.2445,ok,143628.208
Boreas-Elysium,303,36.6,0.1783,ok,109439.355
Caelum-Elysium,79,27.9,0.3362,ok,190516.176
Dawn-Fenix,102,63.2,0.4023,ok,127478.594
Aegis-Elysium,64,21.5,0.1063,ok,157333.307
Aegis-Dawn,79,76.97999999999999,0.4527,ok,253413.536
Caelum-Elysium,195,39.2,0.4719,ok,287811.728
Dawn-Elysium,385,19.8,0.2862,ok,135094.832
Aegis-Elysium,266,73.0,0.3611,ok,242871.783
Boreas-Fenix,246,49.0,0.29,ok,180509.302
Boreas-Fenix,397,26.9,0.1594,ok,148925.777
Boreas-Dawn,80,13.8,0.0686,ok,68606.474
Caelum-Elysium,37,22.0,0.2651,ok,166914.724
Caelum-Elysium,402,26.9,0.3246,ok,189173.397
Caelum-Elysium,406,23.7,0.2856,ok,170808.795
Aegis-Boreas,274,139.5,0.6709,ok,304724.783
Caelum-Elysium,185,43.9,0.5286,ok,350318.559
Caelum-Dawn,212,46.9,0.5098,ok,289895.42
Boreas-Elysium,213,37.0,0.1803,ok,109775.25
Elysium-Fenix,159,16.6,0.1093,ok,174085.618
Boreas-Elysium,0,11.3,0.055,ok,98898.15
Boreas-Fenix,472,71.7,0.4242,ok,264125.371
Elysium-Fenix,270,57.2,0.3763,ok,279224.019
Caelum-Fenix,189,9.7,0.0763,ok,117968.832
Caelum-Elysium,323,42.3,0.509,ok,328774.293
Caelum-Elysium,137,21.7,0.2618,ok,162237.56
Boreas-Dawn,370,56.6,0.2804,ok,91729.02
Aegis-Elysium,296,16.8,0.0834,ok,155497.6
Dawn-Fenix,177,39.3,0.2502,ok,89530.149
Caelum-Fenix,476,43.8,0.3447,ok,170678.069
Elysium-Fenix,414,42.4,0.2788,ok,218043.916
Boreas-Elysium,295,21.6,0.1056,ok,103493.166
Caelum-Dawn,308,42.3,0.4601,ok,245924.354
Aegis-Dawn,449,43.2,0.4404,ok,238145.211
Aegis-Elysium,367,20.5,0.1016,ok,165557.447
Elysium-Fenix,104,57.4,0.3773,ok,278921.998
Boreas-Dawn,202,16.6,0.0822,ok,71213.459
Boreas-Dawn,92,130.0,0.6436,ok,306552.759
Aegis-Dawn,371,20.7,0.2114,ok,142355.132
Aegis-Boreas,369,97.2,0.4671,ok,133410.106
Aegis-Boreas,143,52.3,0.2516,ok,75383.525
Aegis-Boreas,307,122.2,0.5873,ok,210318.889
Boreas-Dawn,127,33.2,0.1644,ok,75274.384
Aegis-Elysium,49,74.1,0.4428,ok,317022.237
Aegis-Boreas,395,26.0,0.1248,ok,63310.842
Caelum-Elysium,214,41.0,0.4935,ok,311861.419
Aegis-Dawn,293,12.5,0.128,ok,126452.039
Caelum-Dawn,460,16.4,0.1782,ok,123903.084
Boreas-Fenix,326,57.5,0.34,ok,205100.7
Boreas-Fenix,491,46.74,0.2522,ok,172523.176
Dawn-Elysium,351,8.6,0.1252,ok,105796.146
Aegis-Elysium,471,84.5,0.4185,ok,284657.97
Boreas-Fenix,309,25.9,0.1534,ok,141022.877
Dawn-Fenix,147,45.1,0.2871,ok,94470.012
Boreas-Elysium,25,107.4,0.524,ok,264090.157
Caelum-Dawn,74,16.6,0.1802,ok,126597.291
Boreas-Fenix,275,42.3,0.2505,ok,168179.943
Dawn-Elysium,280,21.7,0.315,ok,145196.377
Dawn-Fenix,124,26.6,0.1694,ok,78225.199
Boreas-Fenix,204,86.7,0.5131,ok,351454.951
Caelum-Fenix,38,20.2,0.159,ok,121043.818
Aegis-Boreas,60,15.5,0.0743,ok,59424.245
Aegis-Boreas,80,43.5,0.2092,ok,69218.915
Aegis-Dawn,329,53.8,0.5493,ok,352409.428
Dawn-Elysium,389,27.0,0.391,ok,179297.479
Elysium-Fenix,354,57.3,0.3771,ok,275535.548
Aegis-Dawn,318,31.9,0.3257,ok,171146.072
Boreas-Fenix,276,42.2,0.2496,ok,167258.568
Caelum-Elysium,359,18.3,0.2204,ok,148773.475
Boreas-Elysium,326,52.4,0.2558,ok,122450.247
Caelum-Dawn,234,10.4,0.1131,ok,117770.434
Boreas-Fenix,444,56.6,0.3348,ok,202545.54
Elysium-Fenix,257,12.7,0.0836,ok,172923.597
Dawn-Fenix,383,38.1,0.2429,ok,84912.043
Dawn-Elysium,127,15.1,0.2191,ok,120035.421
Aegis-Dawn,451,71.9,0.7341,ok,834342.494
Boreas-Elysium,280,37.2,0.1815,ok,108076.686
Caelum-Fenix,50,58.9,0.4639,ok,245585.379
Boreas-Elysium,422,98.7,0.4817,ok,227304.479
Elysium-Fenix,122,36.6,0.2407,ok,206894.31
Aegis-Elysium,317,23.5,0.1161,ok,158747.148
Dawn-Elysium,19,24.0,0.3479,ok,157577.271
Dawn-Fenix,232,68.3,0.4353,ok,141493.217
Aegis-Elysium,236,102.4,0.5071,ok,391470.533
Dawn-Elysium,13,10.2,0.1476,ok,113267.542
Dawn-Elysium,400,35.2,0.51,ok,261894.393
Aegis-Boreas,461,34.1,0.1641,ok,66299.758
Elysium-Fenix,9,50.6,0.3329,ok,248735.206
Boreas-Fenix,410,63.9,0.378,ok,227790.118
Caelum-Dawn,160,14.1,0.1535,ok,126469.476
Elysium-Fenix,220,17.9,0.1175,ok,171998.702
Aegis-Elysium,103,112.9,0.5591,ok,483416.665
Caelum-Dawn,491,11.9,0.1299,ok,116427.55
Dawn-Elysium,98,15.4,0.2234,ok,119968.862
Elysium-Fenix,309,40.4,0.266,ok,211898.785
Aegis-Elysium,484,13.7,0.0678,ok,160233.708
Boreas-Elysium,486,53.3,0.2598,ok,123818.133
Caelum-Fenix,277,27.0,0.2125,ok,130216.718
Boreas-Fenix,345,21.6,0.1277,ok,140022.894
Caelum-Dawn,433,66.0,0.7174,ok,720174.234
Caelum-Fenix,137,21.4,0.1687,ok,119619.747
Boreas-Dawn,72,28.6,0.1418,ok,73696.233
Dawn-Elysium,469,7.2,0.104,ok,106222.865
Caelum-Elysium,190,34.9,0.4208,ok,242267.742
Boreas-Elysium,106,31.2,0.1521,ok,102092.626
Dawn-Elysium,135,18.5,0.2681,ok,133988.298
Elysium-Fenix,494,125.5,0.8256,ok,2087798.658
Dawn-Elysium,338,22.0,0.3185,ok,147774.901
Dawn-Elysium,31,4.7,0.0688,ok,105012.049
Aegis-Boreas,7,63.3,0.3042,ok,85729.036
Aegis-Dawn,207,20.3,0.2071,ok,134568.829
Boreas-Elysium,36,27.5,0.1341,ok,103858.619
Caelum-Elysium,65,23.7,0.285,ok,169255.292
Elysium-Fenix,15,60.2,0.396,ok,288202.308
Dawn-Elysium,330,15.1,0.2184,ok,119842.176
Dawn-Elysium,104,12.6,0.1832,ok,115198.288
Caelum-Dawn,416,36.7,0.3991,ok,196148.774
Elysium-Fenix,12,57.5,0.3783,ok,280950.82
Aegis-Elysium,114,61.0,0.3018,ok,213396.571
Caelum-Elysium,81,35.8,0.431,ok,251481.049
Boreas-Elysium,351,43.4,0.2119,ok,114653.445
Boreas-Dawn,43,116.9,0.5785,ok,234136.342
Caelum-Fenix,448,52.8,0.416,ok,212756.093
Boreas-Dawn,479,70.6,0.3495,ok,107483.92
Elysium-Fenix,487,30.0,0.1977,ok,188335.945
Boreas-Elysium,117,35.7,0.1742,ok,256150.828
Dawn-Elysium,223,31.5,0.456,ok,213101.079
Caelum-Fenix,113,55.7,0.4389,ok,408402.909
Boreas-Fenix,133,24.7,0.146,ok,143957.284
Aegis-Elysium,187,88.8,0.4396,ok,310932.955
Boreas-Dawn,30,22.0,0.1089,ok,72406.52
Elysium-Fenix,448,21.3,0.1399,ok,177030.669
Dawn-Fenix,426,63.0,0.4013,ok,130279.728
Caelum-Dawn,172,16.9,0.1177,ok,118941.22
Caelum-Dawn,122,31.1,0.3381,ok,168000.561
Aegis-Boreas,230,73.9,0.3553,ok,93251.576
Elysium-Fenix,59,46.7,0.307,ok,229751.626
Aegis-Boreas,50,12.8,0.0617,ok,61337.986
Aegis-Dawn,97,35.9,0.3663,ok,193558.159
Aegis-Elysium,295,25.7,0.1273,ok,163909.274
Dawn-Fenix,245,45.1,0.2875,ok,95730.787
Elysium-Fenix,311,19.9,0.131,ok,170890.214
Dawn-Fenix,388,65.9,0.4197,ok,134278.875
Boreas-Elysium,392,81.96,0.6162,ok,383074.781
Dawn-Fenix,38,34.3,0.2187,ok,83426.568
Aegis-Boreas,275,126.2,0.6065,ok,230881.655
Aegis-Elysium,158,16.5,0.0816,ok,156167.221
Boreas-Elysium,418,104.8,0.5113,ok,254864.803
Elysium-Fenix,386,76.5,0.5033,ok,417621.404
Boreas-Elysium,28,150.7,0.7351,ok,692851.821
Aegis-Boreas,400,20.5,0.0986,ok,62141.151
Boreas-Dawn,279,29.02,0.2706,ok,90299.96
Caelum-Fenix,205,18.0,0.1416,ok,118237.343
Elysium-Fenix,273,7.9,0.0517,ok,168828.727
Dawn-Fenix,247,96.2,0.6126,ok,277120.891
Boreas-Dawn,134,39.6,0.1959,ok,78274.728
Dawn-Fenix,128,8.0,0.051,ok,71373.753
Aegis-Boreas,217,61.3,0.2947,ok,81644.456
Aegis-Dawn,450,30.8,0.314,ok,168261.978
Aegis-Elysium,352,95.8,0.4742,ok,351547.06
Dawn-Fenix,404,98.1,0.6247,ok,291019.177
Caelum-Elysium,199,37.96,0.284,ok,167380.653
Boreas-Dawn,429,13.6,0.0674,ok,70448.412
Boreas-Fenix,112,62.6,0.3703,ok,223737.19
Dawn-Elysium,406,9.7,0.1412,ok,108956.648
Caelum-Dawn,489,41.3,0.4489,ok,235359.795
Aegis-Elysium,2,47.6,0.2356,ok,188465.074
Boreas-Dawn,379,46.4,0.2298,ok,81819.257
Boreas-Elysium,187,29.26,0.1942,ok,109498.884
Aegis-Boreas,341,85.7,0.4122,ok,112743.537
Caelum-Elysium,279,7.3,0.0878,ok,130673.905
Caelum-Elysium,226,14.8,0.1784,ok,145874.929
Boreas-Fenix,365,9.0,0.0534,ok,131124.836
Boreas-Fenix,73,62.2,0.368,ok,221823.369
Boreas-Dawn,359,117.7,0.5827,ok,237878.893
Caelum-Dawn,227,27.3,0.297,ok,153214.486
Caelum-Elysium,61,17.2,0.2072,ok,146897.28
Elysium-Fenix,303,37.8,0.2488,ok,203335.37
Boreas-Fenix,248,54.1,0.3201,ok,193267.259
Caelum-Elysium,114,15.1,0.1822,ok,140764.521
Boreas-Fenix,189,63.1,0.3736,ok,221183.087
Boreas-Dawn,289,35.1,0.1736,ok,77724.359
Dawn-Elysium,81,1.8,0.0261,ok,100437.974
Boreas-Fenix,93,22.0,0.1304,ok,140893.835
Aegis-Elysium,432,84.8,0.4199,ok,294196.392
Aegis-Boreas,180,96.2,0.4623,ok,129307.596
Caelum-Elysium,376,10.3,0.1244,ok,132200.649
Dawn-Fenix,256,50.2,0.3198,ok,103658.478
Boreas-Fenix,274,39.6,0.234,ok,164657.431
Dawn-Fenix,226,53.9,0.3431,ok,108237.612
Boreas-Elysium,45,76.9,0.3752,ok,164355.959
Caelum-Elysium,397,29.9,0.3597,ok,205565.866
Caelum-Dawn,217,26.1,0.2837,ok,149993.519
Boreas-Elysium,132,64.7,0.3158,ok,140443.41
Caelum-Elysium,223,5.6,0.0669,ok,128586.922
Caelum-Fenix,394,33.4,0.2629,ok,146732.467
Caelum-Fenix,40,8.2,0.0649,ok,116415.33
Aegis-Boreas,0,90.0,0.4328,ok,118635.583
Boreas-Elysium,282,61.3,0.2989,ok,134878.184
Aegis-Elysium,421,25.0,0.1239,ok,162835.259
Caelum-Fenix,465,38.2,0.3007,ok,154736.901
Caelum-Fenix,6,20.9,0.1647,ok,289518.923
Caelum-Dawn,25,37.9,0.4122,ok,209552.335
Aegis-Boreas,412,61.5,0.2956,ok,85410.661
Dawn-Elysium,7,35.1,0.5089,ok,262297.409
Dawn-Elysium,478,18.2,0.2635,ok,129982.537
Boreas-Dawn,398,86.2,0.4266,ok,133663.451
Caelum-Dawn,464,47.6,0.517,ok,297627.082
Dawn-Elysium,192,15.6,0.2265,ok,120482.375
Aegis-Dawn,351,10.0,0.1017,ok,125396.281
Boreas-Dawn,144,52.8,0.2613,ok,88560.472
Dawn-Elysium,173,14.2,0.2061,ok,121255.924
Boreas-Dawn,386,52.6,0.2604,ok,84769.505
Boreas-Elysium,390,22.1,0.1078,ok,102880.22
Caelum-Elysium,93,20.0,0.2412,ok,149883.642
Dawn-Elysium,248,10.9,0.1582,ok,111473.16
Dawn-Elysium,35,33.5,0.485,ok,241171.368
Caelum-Dawn,148,51.3,0.5577,ok,345037.788
Dawn-Fenix,170,59.0,0.3757,ok,116553.241
Caelum-Elysium,206,23.7,0.2857,ok,167985.182
Dawn-Elysium,78,20.3,0.2937,ok,138723.043
Dawn-Fenix,240,44.8,0.2852,ok,94387.209
Caelum-Fenix,114,42.1,0.3314,ok,164358.979
Dawn-Fenix,432,45.6,0.2903,ok,94915.715
Aegis-Dawn,76,13.4,0.1366,ok,126501.667
Aegis-Elysium,217,83.9,0.4156,ok,289603.805
Aegis-Elysium,272,43.5,0.2151,ok,182833.003
Caelum-Elysium,150,18.5,0.1674,ok,142803.967
Aegis-Elysium,389,33.2,0.1643,ok,169382.415
Caelum-Dawn,150,20.3,0.2211,ok,134502.844
Caelum-Dawn,213,17.7,0.192,ok,130683.402
Aegis-Dawn,229,13.0,0.1328,ok,125199.296
Caelum-Fenix,286,49.8,0.3919,ok,197232.741
Caelum-Fenix,177,45.2,0.3562,ok,176714.05
Caelum-Fenix,400,33.1,0.2605,ok,140071.589
Boreas-Dawn,24,48.8,0.2418,ok,84969.593
Dawn-Fenix,19,39.9,0.2541,ok,90564.227
Boreas-Fenix,323,49.1,0.2906,ok,183333.367
Dawn-Fenix,16,54.3,0.346,ok,109811.313
Aegis-Dawn,405,42.9,0.4382,ok,236992.462
Boreas-Dawn,219,52.1,0.2577,ok,86296.668
Boreas-Elysium,242,29.0,0.1416,ok,101562.063
Caelum-Elysium,336,39.2,0.4728,ok,289088.536
Caelum-Dawn,306,39.2,0.4258,ok,214275.549
Boreas-Dawn,60,12.4,0.0613,ok,69060.482
Boreas-Fenix,456,22.2,0.1316,ok,146754.363
Aegis-Dawn,258,25.9,0.2643,ok,154297.163
Caelum-Fenix,58,27.9,0.2197,ok,130778.539
Caelum-Dawn,359,22.9,0.2488,ok,138462.294
Boreas-Elysium,29,75.3,0.3675,ok,158544.477
Caelum-Dawn,11,16.6,0.1803,ok,124067.735
Aegis-Elysium,165,45.9,0.227,ok,185558.899
Dawn-Elysium,410,23.0,0.3328,ok,151308.319
Dawn-Fenix,358,32.0,0.2041,ok,81324.905
Boreas-Fenix,8,33.5,0.1981,ok,151969.931
Aegis-Elysium,244,68.1,0.3372,ok,233220.388
Boreas-Elysium,102,45.1,0.2201,ok,114666.031
Aegis-Boreas,200,51.4,0.2472,ok,74000.132
Boreas-Dawn,85,2.2,0.0111,ok,68071.577
Aegis-Dawn,102,15.7,0.1604,ok,127059.283
Boreas-Elysium,225,58.5,0.2853,ok,129499.693
Aegis-Elysium,498,62.5,0.3093,ok,218423.05
Aegis-Dawn,303,31.4,0.3209,ok,168200.58
Caelum-Elysium,24,54.1,0.6513,ok,591110.546
Boreas-Fenix,9,44.5,0.2633,ok,177869.496
Elysium-Fenix,435,86.9,0.5715,ok,527030.162
Boreas-Dawn,433,77.4,0.3832,ok,226219.629
Aegis-Boreas,136,79.8,0.3834,ok,101292.603
Aegis-Boreas,185,39.4,0.1896,ok,69107.789
Dawn-Fenix,353,58.8,0.3745,ok,118056.452
Dawn-Fenix,486,78.6,0.5007,ok,175406.612
Caelum-Dawn,420,14.2,0.1548,ok,122522.763
Boreas-Fenix,198,49.4,0.2921,ok,185212.807
Dawn-Fenix,448,61.8,0.3938,ok,128176.926
Caelum-Dawn,219,22.0,0.239,ok,134331.461
Caelum-Elysium,62,13.6,0.1638,ok,137941.357
Boreas-Elysium,171,48.3,0.2354,ok,121635.941
Aegis-Dawn,185,46.2,0.4714,ok,264482.584
Boreas-Dawn,486,22.7,0.1122,ok,72024.175
Caelum-Fenix,405,19.2,0.1513,ok,124002.063
Caelum-Elysium,400,34.3,0.4137,ok,237389.358
Boreas-Elysium,330,74.1,0.3613,ok,156948.408
Elysium-Fenix,180,39.0,0.2563,ok,212011.677
Boreas-Elysium,493,52.8,0.2574,ok,123010.313
Caelum-Fenix,220,62.7,0.4938,ok,271949.341
Aegis-Boreas,353,39.8,0.1913,ok,68993.785
Elysium-Fenix,307,30.2,0.1987,ok,190416.02
Boreas-Fenix,144,28.7,0.1697,ok,143884.245
Aegis-Dawn,256,71.0,0.7244,ok,797737.106
Dawn-Elysium,226,28.9,0.1716,ok,113349.498
Aegis-Elysium,22,50.8,0.2517,ok,195484.862
Boreas-Fenix,261,62.3,0.3685,ok,219863.759
Caelum-Fenix,47,26.4,0.208,ok,126848.231
Boreas-Elysium,20,47.0,0.2292,ok,120161.457
Caelum-Elysium,44,27.7,0.3342,ok,194010.784
Elysium-Fenix,259,43.7,0.2878,ok,215746.399
Aegis-Elysium,362,56.2,0.2784,ok,209526.181
Caelum-Fenix,69,51.9,0.4088,ok,204682.813
Elysium-Fenix,3,35.2,0.2315,ok,203274.569
Aegis-Dawn,187,40.2,0.4102,ok,216690.654
Boreas-Dawn,376,93.9,0.465,ok,150248.61
Caelum-Dawn,255,35.3,0.384,ok,188437.02
Caelum-Elysium,282,53.6,0.3048,ok,173322.811
Caelum-Fenix,43,57.0,0.4485,ok,232195.477
Boreas-Fenix,479,46.0,0.2721,ok,175790.961
Dawn-Fenix,466,33.6,0.2138,ok,83529.185
Caelum-Fenix,76,53.7,0.4227,ok,211906.621
Caelum-Fenix,439,74.1,0.5838,ok,386237.996
Elysium-Fenix,18,41.7,0.2742,ok,222037.491
Aegis-Elysium,136,39.4,0.1952,ok,175216.664
Elysium-Fenix,165,13.6,0.0895,ok,167399.295
Aegis-Dawn,223,56.3,0.5746,ok,393926.785
Aegis-Elysium,341,43.5,0.2154,ok,181976.532
Caelum-Fenix,179,18.6,0.1463,ok,122210.462
Boreas-Dawn,195,40.9,0.2025,ok,77096.358
Boreas-Fenix,179,64.9,0.3841,ok,233927.407
Caelum-Fenix,107,14.9,0.1176,ok,118314.199
Dawn-Fenix,221,18.1,0.1156,ok,73844.117
Aegis-Boreas,70,38.5,0.1853,ok,67770.858
Caelum-Elysium,5,26.1,0.3147,ok,181415.826
Boreas-Fenix,384,30.4,0.1799,ok,148173.027
Boreas-Elysium,379,79.8,0.3892,ok,169214.613
Caelum-Fenix,167,40.2,0.3167,ok,161496.447
Dawn-Elysium,229,20.3,0.2945,ok,135166.015
Aegis-Dawn,355,19.8,0.2025,ok,136012.947
Aegis-Elysium,285,79.3,0.3924,ok,271833.449
Caelum-Fenix,71,24.0,0.1893,ok,124620.804
Dawn-Fenix,12,59.8,0.3807,ok,122224.404
Boreas-Elysium,481,90.1,0.4397,ok,198073.049
Elysium-Fenix,83,73.94000000000001,0.5451,ok,481225.071
Caelum-Elysium,228,10.6,0.1279,ok,128232.898
Boreas-Fenix,129,87.0,0.5145,ok,355905.851
Dawn-Fenix,342,69.5,0.4424,ok,146126.768
Elysium-Fenix,404,35.9,0.2363,ok,204390.691
Caelum-Fenix,431,45.5,0.3579,ok,177930.718
Aegis-Elysium,201,28.5,0.1411,ok,160433.01
Aegis-Boreas,413,86.1,0.4142,ok,113231.632
Dawn-Fenix,35,73.8,0.4701,ok,160187.782
Dawn-Fenix,142,86.6,0.5513,ok,214449.793
Caelum-Elysium,249,11.7,0.1413,ok,136613.254
Aegis-Elysium,467,64.6,0.3196,ok,219272.816
Boreas-Dawn,234,84.2,0.4169,ok,130280.419
Boreas-Elysium,329,57.5,0.2806,ok,129376.493
Aegis-Elysium,25,91.5,0.4532,ok,320397.445
Boreas-Elysium,445,122.6,0.5979,ok,355327.143
Aegis-Elysium,361,18.8,0.093,ok,157978.993
Caelum-Dawn,84,22.6,0.2454,ok,310513.672
Aegis-Boreas,87,151.6,0.729,ok,411170.431
Elysium-Fenix,60,36.1,0.2376,ok,207465.296
Caelum-Dawn,343,35.7,0.388,ok,195178.029
Dawn-Elysium,189,10.6,0.1535,ok,110103.462
Caelum-Elysium,270,38.6,0.4652,ok,283072.443
Dawn-Elysium,225,29.4,0.4266,ok,199648.686
Dawn-Fenix,378,60.7,0.3865,ok,122351.734
Aegis-Boreas,439,125.6,0.6038,ok,226205.738
Dawn-Fenix,188,93.3,0.5943,ok,257313.568
Boreas-Dawn,495,30.2,0.1494,ok,72913.507
Dawn-Fenix,435,99.5,0.6336,ok,305588.499
Boreas-Dawn,100,34.6,0.1714,ok,75933.548
Caelum-Fenix,222,42.2,0.332,ok,165603.624
Boreas-Dawn,137,85.0,0.4206,ok,128887.829
Caelum-Fenix,434,60.7,0.4777,ok,260051.856
Aegis-Dawn,375,9.4,0.0958,ok,124705.308
Aegis-Dawn,21,25.2,0.2571,ok,146378.659
Caelum-Dawn,137,22.4,0.2435,ok,139369.668
Aegis-Boreas,146,18.0,0.0863,ok,26739.114
Elysium-Fenix,248,20.7,0.1359,ok,176428.802
Boreas-Fenix,224,81.4,0.4816,ok,314255.479
Aegis-Elysium,445,52.9,0.2619,ok,194094.709
Dawn-Elysium,160,9.0,0.1303,ok,108443.998
Elysium-Fenix,377,51.3,0.3374,ok,250588.784
Boreas-Elysium,376,100.5,0.4904,ok,235113.257
Dawn-Fenix,323,82.2,0.5237,ok,193621.009
Aegis-Elysium,195,120.4,0.5961,ok,557782.991
Boreas-Elysium,367,67.3,0.3281,ok,143472.408
Caelum-Dawn,454,22.1,0.2404,ok,138852.126
Boreas-Dawn,373,39.5,0.1954,ok,81118.966
Caelum-Dawn,485,27.6,0.3,ok,156252.447
Aegis-Dawn,72,16.8,0.1716,ok,385372.789
Dawn-Elysium,38,57.6,0.835,ok,3914244.954
Boreas-Elysium,114,17.8,0.087,ok,99652.045
Aegis-Dawn,490,30.8,0.314,ok,167767.057
Caelum-Fenix,444,9.0,0.0708,ok,111586.935
Boreas-Fenix,489,71.4,0.4222,ok,258708.685
Aegis-Dawn,53,40.2,0.4106,ok,214915.091
Caelum-Elysium,188,16.8,0.2019,ok,149398.431
Boreas-Dawn,416,88.1,0.4363,ok,139476.233
Caelum-Elysium,465,19.6,0.2356,ok,151857.322
Elysium-Fenix,321,14.3,0.094,ok,172345.167
Elysium-Fenix,282,24.1,0.1582,ok,181976.479
Elysium-Fenix,382,16.2,0.1066,ok,169228.272
Boreas-Dawn,174,75.8,0.3752,ok,115891.828
Boreas-Elysium,347,90.0,0.4391,ok,195732.627
Aegis-Dawn,165,34.9,0.356,ok,189329.581
Elysium-Fenix,290,9.4,0.0616,ok,166536.787
Aegis-Elysium,13,106.9,0.5292,ok,433415.722
Dawn-Fenix,67,29.0,0.1848,ok,80565.245
Caelum-Elysium,60,7.5,0.0898,ok,131247.594
Boreas-Dawn,261,56.0,0.2773,ok,89388.882
Boreas-Elysium,358,8.0,0.0391,ok,100866.998
Dawn-Fenix,199,25.8,0.1645,ok,77370.315
Dawn-Fenix,357,22.6,0.1436,ok,75228.73
